risk_id,customer_id,segment,branch,risk_category,inherent_risk,control_effectiveness,residual_risk,last_assessed_date,next_review_date,assigned_analyst,escalated_to_compliance,remarks
RSK-0001,CUST-0026,Corporate,Quetta-Branch,AML Suspicion,Critical,Strong,High,2025-02-05,2025-05-06,Analyst_A,0,Controls adequate
RSK-0002,CUST-0038,SME,Islamabad-Blue Area,Cross-Border Alert,Low,Not Tested,Low,2024-07-06,2025-07-06,Analyst_B,0,Requires enhanced due diligence
RSK-0003,CUST-0058,Priority,Faisalabad-Central,Dormant Account Activation,Medium,Weak,Low,2024-05-28,2025-05-28,Analyst_C,0,Escalated for review
RSK-0004,CUST-0065,Islamic,Lahore-Gulberg,Cross-Border Alert,High,Not Tested,Low,2024-10-27,2025-04-25,Analyst_A,0,Requires enhanced due diligence
RSK-0005,CUST-0153,Islamic,Islamabad-Blue Area,Dormant Account Activation,Medium,Weak,Low,2024-05-31,2024-08-29,Analyst_A,0,Escalated for review
RSK-0006,CUST-0179,Islamic,Faisalabad-Central,Cross-Border Alert,High,Not Tested,High,2024-04-25,2025-04-25,Analyst_A,1,Requires enhanced due diligence
RSK-0007,CUST-0033,Priority,Faisalabad-Central,Cross-Border Alert,Critical,Weak,High,2024-10-09,2025-04-07,Analyst_C,0,Requires enhanced due diligence
RSK-0008,CUST-0193,Retail,Faisalabad-Central,Cross-Border Alert,High,Adequate,High,2024-12-10,2025-06-08,Analyst_B,0,Controls adequate
RSK-0009,CUST-0181,SME,Faisalabad-Central,Unusual Velocity,High,Weak,Low,2025-01-29,2025-07-28,Compliance_Team,1,Requires enhanced due diligence
RSK-0010,CUST-0111,SME,Karachi-Clifton,Unusual Velocity,Medium,Weak,Low,2025-03-27,2025-06-25,Analyst_C,0,Escalated for review
RSK-0011,CUST-0176,SME,Islamabad-Blue Area,Rapid Fund Movement,Medium,Weak,Low,2025-03-01,2026-03-01,Analyst_B,0,Requires enhanced due diligence
RSK-0012,CUST-0046,Corporate,Lahore-Gulberg,Dormant Account Activation,Medium,Adequate,Medium,2024-08-12,2024-11-10,Analyst_A,0,Escalated for review
RSK-0013,CUST-0021,Priority,Islamabad-Blue Area,Unusual Velocity,Low,Not Tested,High,2025-01-19,2026-01-19,Compliance_Team,0,Monitoring ongoing
RSK-0014,CUST-0042,Corporate,Quetta-Branch,Unusual Velocity,Critical,Adequate,Medium,2024-05-25,2024-11-21,Analyst_A,0,Controls adequate
RSK-0015,CUST-0012,Corporate,Faisalabad-Central,Dormant Account Activation,Critical,Adequate,High,2024-01-18,2025-01-17,Analyst_A,0,Escalated for review
